date,country_code,country,confirmed,suspected,cured,dead
20200203,US,美国,5,0,0,0
20200203,VN,越南,2,0,0,0
20200204,CN,中国,24324,23260,892,490
20200205,CN,中国,28018,24702,1153,563
20200206,AE,阿联酋,5,0,0,0
20200206,AU,澳大利亚,14,0,3,0
20200206,BE,比利时,1,0,0,0
20200206,CA,加拿大,5,0,1,0
20200206,CN,中国,31161,26359,1540,636
20200206,DE,德国,12,0,0,0
20200206,ES,西班牙,1,0,0,0
20200206,FI,芬兰,1,0,0,0
20200206,FR,法国,6,0,0,0
20200206,GB,英国,2,0,0,0
20200206,IN,印度,3,0,0,0
20200206,IT,意大利,2,0,0,0
20200206,JP,日本,45,0,1,0
20200206,KH,柬埔寨,1,0,0,0
20200206,KR,韩国,24,0,1,0
20200206,LK,斯里兰卡,1,0,1,0
20200206,MY,马来西亚,14,0,1,0
20200206,NP,尼泊尔,1,0,0,0
20200206,PH,菲律宾,3,0,0,1
20200206,RU,俄罗斯,2,0,0,0
20200206,SE,瑞典,1,0,0,0
20200206,SG,新加坡,28,0,1,0
20200206,TH,泰国,25,0,8,0
20200206,US,美国,12,0,1,0
20200206,VN,越南,10,0,3,0
20200207,AE,阿联酋,5,0,0,0
20200207,AU,澳大利亚,15,0,3,0
20200207,BE,比利时,1,0,0,0
20200207,CA,加拿大,5,0,1,0
20200207,CN,中国,34594,27657,2052,723
20200207,DE,德国,13,0,0,0
20200207,ES,西班牙,1,0,0,0
20200207,FI,芬兰,1,0,0,0
20200207,FR,法国,6,0,0,0
20200207,GB,英国,3,0,0,0
20200207,IN,印度,3,0,0,0
20200207,IT,意大利,3,0,0,0
20200207,JP,日本,86,0,1,0
20200207,KH,柬埔寨,1,0,0,0
20200207,KR,韩国,24,0,1,0
20200207,LK,斯里兰卡,1,0,1,0
20200207,MY,马来西亚,14,0,1,0
20200207,NP,尼泊尔,1,0,0,0
20200207,PH,菲律宾,3,0,0,1
20200207,RU,俄罗斯,2,0,0,0
20200207,SE,瑞典,1,0,0,0
20200207,SG,新加坡,33,0,2,0
20200207,TH,泰国,25,0,8,0
20200207,US,美国,12,0,1,0
20200207,VN,越南,12,0,3,0
20200208,AE,阿联酋,7,0,0,0
20200208,AU,澳大利亚,15,0,3,0
20200208,BE,比利时,1,0,0,0
20200208,CA,加拿大,5,0,1,0
20200208,CN,中国,37162,28942,2651,812
20200208,DE,德国,13,0,0,0
20200208,ES,西班牙,1,0,0,0
20200208,FI,芬兰,1,0,1,0
20200208,FR,法国,11,0,0,0
20200208,GB,英国,3,0,0,0
20200208,IN,印度,3,0,0,0
20200208,IT,意大利,3,0,0,0
20200208,JP,日本,89,0,1,0
20200208,KH,柬埔寨,1,0,0,0
20200208,KR,韩国,24,0,2,0
20200208,LK,斯里兰卡,1,0,1,0
20200208,MY,马来西亚,16,0,2,0
20200208,NP,尼泊尔,1,0,0,0
20200208,PH,菲律宾,3,0,0,1
20200208,RU,俄罗斯,2,0,0,0
20200208,SE,瑞典,1,0,0,0
20200208,SG,新加坡,33,0,2,0
20200208,TH,泰国,32,0,8,0
20200208,US,美国,12,0,3,0
20200208,VN,越南,13,0,3,0
20200209,AE,阿联酋,7,0,0,0
20200209,AU,澳大利亚,15,0,3,0
20200209,BE,比利时,1,0,0,0
20200209,CA,加拿大,7,0,1,0
20200209,CN,中国,40224,23589,3283,909
20200209,DE,德国,14,0,0,0
20200209,ES,西班牙,2,0,0,0
20200209,FI,芬兰,1,0,1,0
20200209,FR,法国,11,0,0,0
20200209,GB,英国,4,0,0,0
20200209,IN,印度,3,0,0,0
20200209,IT,意大利,3,0,0,0
20200209,JP,日本,89,0,1,0
20200209,KH,柬埔寨,1,0,0,0
20200209,KR,韩国,27,0,3,0
20200209,LK,斯里兰卡,1,0,1,0
20200209,MY,马来西亚,17,0,2,0
20200209,NP,尼泊尔,1,0,0,0
20200209,PH,菲律宾,3,0,0,1
20200209,RU,俄罗斯,2,0,0,0
20200209,SE,瑞典,1,0,0,0
20200209,SG,新加坡,43,0,2,0
20200209,TH,泰国,32,0,8,0
20200209,US,美国,12,0,3,0
20200209,VN,越南,14,0,3,0
20200210,AE,阿联酋,7,0,0,0
20200210,AU,澳大利亚,15,0,3,0
20200210,BE,比利时,1,0,0,0
20200210,CA,加拿大,7,0,1,0
20200210,CN,中国,42708,21675,3998,1017
20200210,DE,德国,14,0,0,0
20200210,ES,西班牙,2,0,0,0
20200210,FI,芬兰,1,0,1,0
20200210,FR,法国,11,0,0,0
20200210,GB,英国,8,0,0,0
20200210,IN,印度,3,0,0,0
20200210,IT,意大利,3,0,0,0
20200210,JP,日本,155,0,1,0
20200210,KH,柬埔寨,1,0,0,0
20200210,KR,韩国,27,0,3,0
20200210,LK,斯里兰卡,1,0,1,0
20200210,MY,马来西亚,18,0,2,0
20200210,NP,尼泊尔,1,0,0,0
20200210,PH,菲律宾,3,0,1,1
20200210,RU,俄罗斯,2,0,0,0
20200210,SE,瑞典,1,0,0,0
20200210,SG,新加坡,45,0,7,0
20200210,TH,泰国,32,0,8,0
20200210,US,美国,12,0,3,0
20200210,VN,越南,14,0,3,0
20200211,AE,阿联酋,8,0,0,0
20200211,AU,澳大利亚,15,0,3,0
20200211,BE,比利时,1,0,0,0
20200211,CA,加拿大,7,0,1,0
